filename,category,sku,name,description,brand,type,price,revenue
IMG_1140.jpg,,GEN-001,Generic Image Product,A versatile generic product image,Generic Brand,Standard,191.19,47140.19
Screenshot 2025-09-29 175019.png,,SCR-001,Screenshot Product A,User interface screenshot example,Tech Corp,UI Design,83.37,48077.41
Screenshot 2025-10-03 115857.png,,SCR-002,Screenshot Product B,Dashboard interface design,Dashboard Inc,Software,59.03,6010.19
Screenshot 2025-11-12 163833.png,,SCR-003,Screenshot Product C,Analytics panel screenshot,Data Systems,Analytics,85.28,21641.02
Screenshot 2025-11-23 232538.png,,SCR-004,Screenshot Product D,Mobile app interface,App Studio,Mobile,178.04,26581.51
Screenshot 2025-11-26 234553.png,,SCR-005,Screenshot Product E,Web design mockup,Web Masters,Web Design,144.46,19775.56
Screenshot 2025-11-28 112453.png,,SCR-006,Screenshot Product F,Database interface,Data Tech,Database,197.58,1818.9
Screenshot 2025-12-01 022745.png,,SCR-007,Screenshot Product G,Network dashboard,Network Pro,Networking,25.1,27739.5
Screenshot 2025-12-02 180147.png,,SCR-008,Screenshot Product H,Server management panel,Server Solutions,DevOps,180.45,38722.16
Screenshot 2025-12-02 182341.png,,SCR-009,Screenshot Product I,Cloud storage interface,Cloud Tech,Cloud,105.07,40858.3
Screenshot 2025-12-10 221541.png,,SCR-010,Screenshot Product J,AI dashboard,AI Systems,Artificial Intelligence,79.95,17352.1
Screenshot 2025-12-12 124045.png,,SCR-011,Screenshot Product K,Machine learning interface,ML Corp,Machine Learning,256.42,26084.04
4.png,website,WEB-001,Website Design Template,Professional website layout,Web Agency,Web Templates,118.76,44694.86
Anchored A.I tools.png,website,WEB-002,AI Tools Landing Page,AI tools marketing page,AI Company,Landing Pages,266.16,32448.3
Gemini_Generated_Image_amwiymamwiymamwi (1).png,website,WEB-003,AI Generated Hero Image,Creative AI-generated imagery,Creative Studio,Hero Images,97.06,25501.18
Gemini_Generated_Image_cklaevcklaevckla (2).png,website,WEB-004,Creative Background Pack,Abstract design backgrounds,Design Pack Co,Backgrounds,209.54,8622.75
Gemini_Generated_Image_cklaevcklaevckla (3).png,website,WEB-005,Abstract Design Bundle,Modern abstract designs,Abstract Designs,Design Assets,239.78,39544.98
Screenshot 2025-09-19 230622.png,website,WEB-006,Dashboard UI Kit,Complete dashboard components,UI Systems,Components,240.93,23550.94
Screenshot 2025-09-19 233633.png,website,WEB-007,Mobile App Interface,Responsive mobile design,Mobile First,Mobile Design,136.42,46142.71
Screenshot 2025-09-19 233643.png,website,WEB-008,E-commerce Template,Online store layout,E-Shop,Templates,225.77,30176.17
Screenshot 2025-11-26 123138.png,website,WEB-009,Portfolio Website Theme,Professional portfolio design,Portfolio Pro,Portfolio,193.58,26723.22
Screenshot 2025-11-28 124506.png,potplayer,MEDIA-001,Media Player Skin Classic,Classic player design,Media Player Inc,Player Skins,133.32,16495.57
Screenshot 2025-11-28 124724.png,potplayer,MEDIA-002,Dark Theme Player UI,Dark mode player interface,Theme Studio,UI Themes,164.69,28195.1
Screenshot 2025-11-28 130738.png,potplayer,MEDIA-003,Minimal Player Interface,Minimalist player design,Minimal Tech,Minimal Design,24.39,22453.09
Screenshot 2025-11-28 132941.png,potplayer,MEDIA-004,Pro Player Controls,Advanced player controls,Pro Media,Professional,131.03,43373.93
Screenshot 2025-11-28 134808.png,potplayer,MEDIA-005,Custom Playback Skin,Customizable player skin,Custom Tech,Customization,33.47,7458.05
Screenshot 2025-11-28 135628.png,potplayer,MEDIA-006,Modern Player Theme,Contemporary player design,Modern Studio,Modern Design,88.27,37979.02
Screenshot 2025-11-28 135743.png,potplayer,MEDIA-007,Retro Player Design,Vintage player interface,Retro Design,Retro Style,178.91,6660.6
Screenshot 2025-12-06 022838.png,potplayer,MEDIA-008,Animated UI Pack,Animation-rich interface,Animation Lab,Animations,269.13,10756.52
Screenshot 2025-12-06 023121.png,potplayer,MEDIA-009,Glassmorphic Player,Glass effect design,Glass Design,Effects,181.89,44583.53
Screenshot 2025-12-06 023132.png,potplayer,MEDIA-010,Neon Glow Interface,Neon styling design,Neon Studio,Neon Effects,281.18,15976.87
